,Country,City
0,China,Guangzhou
1,China,Fuzhou
2,China,Beijing
3,China,Baotou
4,China,Hohhot
5,China,Guiyang
6,China,Yinchuan
7,China,Nanjing
8,China,Changzhou
9,China,Chuzhou
10,China,Hefei
11,China,Jinan
12,China,Qingdao
13,China,Harbin
14,China,Zhaodong
15,China,Taiyuan
16,China,Xi'an
17,China,Xianyang
18,China,Shenzhen
19,China,Nanning
20,China,Zhengzhou
21,China,Xinxiang
22,China,Luohe
23,China,Luoyang
24,China,Chaoyang
25,China,Xingyi
26,China,Foshan
27,China,Haikou
28,China,Chengdu
29,China,Dongguan
30,China,Mingzhou
31,China,Chongqing
32,China,Zhuhai
33,China,Kunming
34,China,Wuhan
35,China,Xiling
36,China,Huizhou
37,China,Jiangmen
38,China,Shantou
39,China,Changxiacun
40,China,Zhongshan
41,China,Lhasa
42,China,Nanchang
43,China,Tianjin
44,China,Shanghai
45,China,Hebei
46,China,Shijiazhuang
47,China,Quanzhou
48,China,Putian
49,China,Xiamen
50,China,Chengyang
51,China,Zhangzhou
52,China,Sanming
53,China,Nanping
54,China,Baoding
55,China,Langfang
56,China,Yantai
57,China,Binzhou
58,China,Lanzhou
59,China,Yueqing
60,China,Zhongxin
61,China,Zhoushan
62,China,Hangzhou
63,China,Ningbo
64,China,Wenzhou
65,China,Changchun
66,China,Fuyang
67,China,Jieshou
68,China,Anqing
69,China,Wuhu
70,China,Shishi
71,China,Shishi
72,China,Weitang
73,China,Shenyang
74,China,Changsha
75,China,Yongjiawan
76,China,Lengshuijiang
77,China,Shijiazhuang
78,China,Xuchang
79,China,Suzhou
80,China,Xuzhou
81,China,Taizhou
82,China,Nanyang
83,China,Xinhua
84,China,ÃœrÃ¼mqi
85,China,Yan'an Beilu
86,China,Baotao
87,China,Macao
88,China,Wuxi
89,China,Yangzhou
90,China,Baiyin
91,China,Tongren
92,China,Kunshan
93,China,Zhangjiagang
94,China,Jiangyin
95,China,Zhenjiang
96,China,Zhoukou
97,China,Anyang
98,China,Dalian
99,China,Tongcun
100,China,Shihezi
101,China,Xining
102,China,Zhangye
103,China,Qingyang
104,China,Wangsu
105,China,Anshun
106,China,Kaili
107,China,Bijie
108,China,Shuigang
109,China,Jianyuan
110,China,Jinlong
111,China,Jingdezhen
112,China,Yichang
113,China,Xiangfan
114,China,Jiayuan
115,China,Shashi
116,China,Yingjie
117,China,Huangshi
118,China,Jinhua
119,China,Zhengyuan
120,China,Langli
121,China,Hengyang
122,China,Jianning
123,China,Xiangtan
124,China,Rongxing
125,China,Xincao
126,China,Jinda
127,China,Nanlong
128,China,Xiangcheng
129,China,Nanma
130,China,Zhongxiang
131,China,Pudong
132,China,Shuitou
133,China,Zhenxing
134,China,Jinjiang
135,China,Longxun
136,China,Guanqiao
137,China,Jingfeng
138,China,Shijing
139,China,Tangbian
140,China,Jiangchuanlu
141,China,Jiaoyun
142,China,Guizhoumanzuxiang
143,China,Qingzhen
144,China,Changde
145,China,Xianning
146,China,Jiaozhou
147,China,Weifang
148,China,Tai'an
149,China,Luoxi
150,China,Guoji
151,China,Guangdong
152,China,Sijiqing
153,China,Huzhou
154,China,Panjin Shi
155,China,Daqing
156,China,Jilin City
157,China,Lianyungang
158,China,Yancheng
159,China,Yuehu
160,China,Kunshan
161,China,Taicang
162,China,Lianshui
163,China,Nantong
164,China,Jiaotong
165,China,Changshu City
166,China,Xingxiangcun
167,China,Jinsha
168,China,Jiangyan
169,China,Chaigoubu
170,China,Ma'anshan
171,China,Huainan
172,China,Haibei
173,China,Shenlong
174,China,Nangxian
175,China,Rongsheng
176,China,Changfeng
177,China,Chengqiao
178,China,Jiafu
179,China,Shenzhou
180,China,Shantou
181,China,Qingyuan
182,China,Gyari
183,China,Xinshijie
184,China,Zhaoqing
185,China,Zhanjiang
186,China,Kuicheng
187,China,Taoyuan
188,China,Jincheng
189,China,Caishen
190,China,Shiyan
191,China,Liaoyang
192,China,Xingtai
193,China,Wenchang
194,China,Wanning
195,China,Qionghai
196,China,Huilongba
197,China,Dingcheng
198,China,Baodian
199,China,Wuzhishan
200,China,Chengmai
201,China,Yinggen
202,China,Ledong
203,China,Lincheng
204,China,Baisha
205,China,Changjiang
206,China,Dongfang
207,China,Changjian
208,China,Jinmao
209,China,Yangpu
210,China,Baipo
211,China,Jiefang
212,China,Danzhou
213,China,Lingshui
214,China,Haidian
215,China,Sanya
216,China,Rongjiang
217,China,Longyan
218,China,Jinghe
219,China,Zhangjiakou
220,China,Renqiu
221,China,Yaocheng
222,China,Kaifeng
223,China,Hebi
224,China,Jiaozuo
225,China,Pingdingshan
226,China,Anshan
227,China,Dandong
228,China,Haitang
229,China,Tongchuan
230,China,Ankang
231,China,Guozhen
232,China,Shangluo
233,China,Xijing
234,China,Weinan
235,China,Yulin
236,China,Yining
237,China,Dingxi
238,China,Wuwei
239,China,Dawukou
240,China,Lishui
241,China,Quzhou
242,China,Hejiang
243,China,Handan
244,China,Qinhuangdao
245,China,Hengshui
246,China,Longxin
247,China,Wen'an
248,China,Yichun
249,China,Heihe
250,China,Jiaxing
251,China,Korla
252,China,Kuytun
253,China,Di'an
254,China,Yu'an
255,China,Mengzhou
256,China,Hulu
257,China,Yizhou
258,China,Shuliang
259,China,Shancheng
260,China,Fushun
261,China,Dashiqiao
262,China,Laonian
263,China,Shengli
264,China,Wenquan
265,China,Zhiye
266,China,Lingzhi
267,China,Zhongtang
268,China,Gucheng
269,China,Xinhua
270,China,Ninghe
271,China,Dangyang
272,China,Yizhong
273,China,Jizhou
274,China,Tianbao
275,China,Jinghai
276,China,Julong
277,China,Jiaqin
278,China,Jiayue
279,China,Dabaizhuang
280,China,Juchuan
281,China,Hexi
282,China,Jinnan
283,China,Hangu
284,China,Nankai
285,China,Hedong
286,China,Yanglou
287,China,Huawei
288,China,Hanting
289,China,Tianshi
290,China,Baiyu
291,China,Bohai
292,China,Rujia
293,China,Tongwang
294,China,Meijiang
295,China,Dagang
296,China,Baodi
297,China,Daqiuzhuang
298,China,Yuxi
299,China,Zicheng
300,China,Shaoxing
301,China,Zhoushan
302,China,Xiaoshan
303,China,Linhai
304,China,Cixi
305,China,Jinchuan
306,China,Zhaobaoshan
307,China,Tiangang
308,China,Beilun
309,China,Zhangqi
310,China,Zhenghai
311,China,Cicheng
312,China,Lishu
313,China,Chengbei
314,China,Heyi
315,China,Xikou
316,China,Jiangkou
317,China,Shunshui
318,China,Simen
319,China,Yuyao
320,China,Lanjiang
321,China,Jiangdong
322,China,Gaotang
323,China,Xiangshan
324,China,Shipu
325,China,Jinyi
326,China,Chengzhong
327,China,Yinzhou
328,China,Luoyang
329,China,Mapai
330,China,Cangnan
331,China,Jinxiangzhen
332,China,Yingjia
333,China,Pingyang
334,China,Rui'an
335,China,Tianfu
336,China,Shangtang
337,China,Yongjia
338,China,Tiancheng
339,China,Hongqiao
340,China,Furong
341,China,Wenxing
342,China,Mingxi
343,China,Jinshan
344,China,Changtu
345,China,Anzi
346,China,Xianren
347,China,Zhongxing
348,China,Guanli
349,China,Yucai
350,China,Xianjiang
351,China,Aojiang
352,China,Dongtou
353,China,Rongjiang
354,China,Jinmen
355,China,Qiantang
356,China,Baojiang
357,China,Huling
358,China,Liushi
359,China,Yuecheng
360,China,Hongyun
361,China,Longhua
362,China,Yajin
363,China,Simcun
364,China,Longgang
365,China,Yingdu
366,China,Wansong
367,China,Yuele
368,China,Nanjiang
369,China,Longhu
370,China,Ningyi
371,China,Fengling
372,China,Wuzhou
373,China,Xinchen
374,China,Jinghu
375,China,Fangzhuang
376,China,Yinfang
377,China,Cili
378,China,Angu
379,China,Feiyun
380,China,Wanquan
381,China,Kunyang
382,China,Shibei
383,China,Jiangnan
384,China,Yujing
385,China,Yishan
386,China,Xuefeng
387,China,Feilong
388,China,Shangrao
389,China,Xuexiao
390,China,Yuzhen
391,China,Huangbao
392,China,Longquan
393,China,Pizhou
394,China,Songyang
395,China,Qingtian
396,China,Chenguang
397,China,Kaiyuan
398,China,Dongsheng
399,China,Jinyun
400,China,Zhongshan
401,China,Miaogao
402,China,Yuanli
403,China,Shinian
404,China,Qingfeng Chengguanzhen
405,China,Liu`an
406,China,Yulong
407,China,Haixing
408,China,Sanjiaocheng
409,China,Pinghu
410,China,Jinling
411,China,Fengming
412,China,Tongxiang
413,China,Puyuan
414,China,Dingqiao
415,China,Yanjiang
416,China,Wutong
417,China,Pingchuan
418,China,Dushu
419,China,Nanxun
420,China,Wuxing
421,China,Yangzhou
422,China,Hongyuan
423,China,Anji
424,China,Shangying
425,China,Deqing
426,China,Digang
427,China,Sanguan
428,China,Yuantong
429,China,Changxin
430,China,Huating
431,China,Putuoshan
432,China,Jinyuan
433,China,Dinghai
434,China,Xiangnan
435,China,Putuo
436,China,Xintian
437,China,Donghuxu
438,China,Zhuji
439,China,Jingcheng
440,China,Jiangtian
441,China,Xingchang
442,China,Jindou
443,China,Xinchang
444,China,Baiyun
445,China,Qianqing
446,China,Tianchang
447,China,Tianchi
448,China,Luzhou
449,China,Qinjiang
450,China,Tianzhu
451,China,Chengguan
452,China,Jinhong
453,China,Huaqiao
454,China,Maotai
455,China,Hezhu
456,China,Dahai
457,China,Shanhu
458,China,Changle
459,China,Guoshang
460,China,Dongshen
461,China,Shangbu
462,China,Zhedong
463,China,Boxing
464,China,Tianyuan
465,China,Guodian
466,China,Linping
467,China,Meicheng
468,China,Jiyang
469,China,Tonglu
470,China,Fuchunjiang
471,China,Qiandaohu
472,China,Yuhang
473,China,Changsheng
474,China,Honglin
475,China,Xiaoheshan
476,China,Binjiang
477,China,Yijin
478,China,Xunxian
479,China,Qianshan
480,China,Zhongzhou
481,China,Chongxian
482,China,Gongchang
483,China,Huangyan
484,China,Jiaojiang
485,China,Wenling
486,China,Xindu
487,China,Sili
488,China,Luqiao
489,China,Baoshan
490,China,Yanjing
491,China,Jinqingzhen
492,China,Gamlung
493,China,Yiwu
494,China,Dongyang
495,China,Yongkang
496,China,Lanxi
497,China,Wuyi
498,China,Wanjia
499,China,Fotang
500,China,Yuhai
501,China,Yiting
502,China,Puyang
503,China,Longfeng
504,China,Yueliangwan
505,China,Renhe
506,China,Yangfen
507,China,Youjia
508,China,Hanshang
509,China,Jindu
510,China,Junping
511,China,Aoma
512,China,Yinliang
513,China,Lijing
514,China,Renhou
515,China,Wangshang
516,China,Pan'an
517,China,Longchuan
518,China,Hengzhou
519,China,Lianyuan
520,China,Jinlun
521,China,Qiaodou
522,China,Shizhu
523,China,Huajie
524,China,Xixi
525,China,Hengdian
526,China,Dongcheng
527,China,Dongdu
528,China,Fusheng
529,China,Yongjin
530,China,Youyi
531,China,Yuchi
532,China,Haiyang
533,China,Tashi
534,China,Jiya
535,China,Zhangqiu
